Contestant ID (internal),Name (English),Name (Korean),Name (Chinese),Name (Japanese),Group Association,Birthday,Height (cm),MBTI,Profile Pic 1,Profile Pic 2,Profile Pic 3,Profile Pic 4,PR Video URL,Signal Song Video URL,Audition Performance Name,Audition Performance URL
K1,An Jeongmin,안정민,安呈岷,アン・ジョンミン,K,,,,https://ddooi9o4ucw67.cloudfront.net/media/candida…vertical/5b34780c-747b-46f3-abce-69584a87902d.jpg,,,,,,,
J1,Ando Rinka,안도 린카,安藤 梨花,安藤 梨花,J,,,,https://ddooi9o4ucw67.cloudfront.net/media/candida…vertical/a8e02beb-6e81-4e19-ad73-ce41d5bf4ba2.jpg,,,,,,,
J2,Arai Risako,아라이 리사코,新井 理沙子,新井 理沙子,J,,,,https://ddooi9o4ucw67.cloudfront.net/media/candida…vertical/cc1ee212-4ddd-4974-8fdf-bd95a316d7d2.jpg,,,,,,,
J3,Aratake Rinka,아라타케 린카,荒武 凛香,荒武 凛香,J,,,,https://ddooi9o4ucw67.cloudfront.net/media/candida…vertical/7ef83ce2-f26b-43c9-88df-13f68f7efd07.jpg,,,,,,,
C1,Cai Bing,차이빙,蔡冰,ツァイ·ビーン,C,,,,https://ddooi9o4ucw67.cloudfront.net/media/candida…vertical/908e7ac6-0440-4369-8ffa-1dfbc4c307d5.jpg,,,,,,,
C2,Chang Ching,장찡,張競,ヂャン·ジン,C,,,,,,,,,,,
C3,Chen Hsinwei,천신웨이,陳昕葳,チェン·シンウェイ,C,,,,https://ddooi9o4ucw67.cloudfront.net/media/candidates/CN_03/profiles/horizontal/b53718f4-8605-42f2-910b-ddbf9481dd7d.jpg,,,,,,,
C4,Chiayi,지아이,家儀,ジアイ,C,,,,,,,,,,,
C5,Chien Tzuling,젠쯔링,簡紫翎,ジエン·ツーリン,C,,,,,,,,,,,
K2,Cho Haeun,조하은,趙廈珢,チョ・ハウン,K,,,,,,,,,,,
K3,Choi Hyerin,최혜린,崔惠潾,チェ・ヘリン,K,,,,,,,,,,,
K4,Choi Yeyoung,최예영,崔芮英,チェ・イェヨン,K,,,,,,,,,,,
K5,Choi Yujin,최유진,崔有眞,チェ・ユジン,K,,,,,,,,,,,
C6,Cui Wenmeixiu,추이원메이시우,崔文美秀,ツゥイ·ウェンメイシウ,C,,,,,,,,,,,
J4,Ezaki Hikaru,에자키 히카루,江崎 光,江崎 ひかる,J,,,,,,,,,,,
C7,Fu Yaning,푸야닝,符雅凝,フー·ヤーニン,C,,,,,,,,,,,
J5,Fujimoto Ayaka,후지모토 아야카,藤本 彩花,藤本 彩花,J,,,,,,,,,,,
C8,Gu Yizhou,구이저우,顾逸舟,グー·イージョウ,C,,,,,,,,,,,
K6,Guinn Myah,귄마야,吉恩・玛雅,グイン・マヤ,K,,,,,,,,,,,
K7,Han Dana,한다나,韓多娜,ハン・ダナ,K,,,,,,,,,,,
J6,Hayase Hana,하야세 하나,早瀬 華,早瀬 華,J,,,,,,,,,,,
J7,Hayashi Fuko,하야시 후코,林 楓子,林 楓子,J,,,,,,,,,,,
J8,Hiyajo Nagomi,히야조 나고미,比屋定 和,比屋定 和,J,,,,,,,,,,,
C9,Ho Szeching,호쓰칭,何思澄,ホー·スーチン,C,,,,,,,,,,,
C10,Hsu Nientzu,쉬니엔츠,許念慈,シュイ·ニエンツー,C,,,,,,,,,,,
C11,Huang Xingqiao,황씽치아오,黄星侨,ファン·シンチャオ,C,,,,,,,,,,,
K8,Huening Bahiyyih,휴닝바히에,休宁巴伊叶,ヒュニン・バヒエ,K,,,,,,,,,,,
K9,Huh Jiwon,허지원,許智媛,ホ・ジウォン,K,,,,,,,,,,,
J9,Ikema Ruan,이케마 루안,池間 琉杏,池間 琉杏,J,,,,,,,,,,,
J10,Inaba Vivienne,이나바 비비안,稲葉 薇薇恩,稲葉 ヴィヴィアン,J,,,,,,,,,,,
J11,Ito Miyu,이토 미유,伊藤 美優,伊藤 美優,J,,,,,,,,,,,
K10,Jeong Jiyoon,정지윤,鄭智赟,チョン・ジユン,K,,,,,,,,,,,
K11,Joung Min,정민,鄭旻,チョン・ミン,K,,,,,,,,,,,
J12,Kamikura Rei,카미쿠라 레이,神藏 令,神藏 令,J,,,,,,,,,,,
J13,Kamimoto Kotone,카미모토 코토네,嘉味元 琴音,嘉味元 琴音,J,,,,,,,,,,,
K12,Kang Yeseo,강예서,姜睿緖,カン・イェソ,K,,,,,,,,,,,
J14,Kanno Miyu,칸노 미유,菅野 美優,菅野 美優,J,,,,,,,,,,,
J15,Kawaguchi Yurina,카와구치 유리나,川口 百合凪,川口 ゆりな,J,,,,,,,,,,,
K13,Kim Bora,김보라,金紫萝,キム・ボラ,K,,,,,,,,,,,
K14,Kim Chaehyun,김채현,金采炫,キム・チェヒョン,K,,,,,,,,,,,
K15,Kim Dayeon,김다연,金多娟,キム・ダヨン,K,,,,,,,,,,,
K16,Kim Doah,김도아,金鍍我,キム・ドア,K,,,,https://ddooi9o4ucw67.cloudfront.net/media/candida…vertical/0fe80a3a-361c-4ffa-9740-6f7da6460737.jpg,,,,,,Wow Thing,https://www.youtube.com/watch?v=JOjNN2S9gF8
K17,Kim Hyerim,김혜림,金惠林,キム・へリム,K,,,,https://ddooi9o4ucw67.cloudfront.net/media/candida…rizontal/68e71fd7-6d14-46dd-9a12-28f895eb8e64.jpg,,,,,,Wow Thing,https://www.youtube.com/watch?v=JOjNN2S9gF8
K18,Kim Sein,김세인,金世仁,キム・セイン,K,,,,,,,,,,,
K19,Kim Suyeon,김수연,金秀姸,キム・スヨン,K,,,,,,,,,,,
K20,Kim Yeeun,김예은,金睿恩,キム・イェウン,K,,,,,,,,,,,
K21,Kim Yubin,김유빈,金瑜彬,キム・ユビン,K,,,,,,,,,,,
J16,Kishida Ririka,키시다 리리카,岸田 莉里花,岸田 莉里花,J,,,,,,,,,,,
J17,Kitajima Yuna,키타지마 유나,北島 由菜,北島 由菜,J,,,,,,,,,,,
J18,Kubo Reina,쿠보 레이나,久保 玲奈,久保 玲奈,J,,,,,,,,,,,
J19,Kuwahara Ayana,쿠와하라 아야나,桑原 彩菜,桑原 彩菜,J,,,,,,,,,,,
K22,Lee Chaeyun,이채윤,李采玧,イ・チェユン,K,,,,,,,,,,,
K23,Lee Hyewon,이혜원,李慧原,イ・ヘウォン,K,,,,,,,,,,,
K24,Lee Rayeon,이나연,李奈衍,イ・ナヨン,K,,,,,,,,,,,
K25,Lee Sunwoo,이선우,李瑄友,イ・ソヌ,K,,,,https://ddooi9o4ucw67.cloudfront.net/media/candida…vertical/0fe80a3a-361c-4ffa-9740-6f7da6460737.jpg,,,,,,Wow Thing,https://www.youtube.com/watch?v=JOjNN2S9gF8
K26,Lee Yeongyung,이연경,李姸炅,イ・ヨンギョン,K,,,,,,,,,,,
K27,Lee Yunji,이윤지,李胤知,イ・ユンジ,K,,,,,,,,,,,
C12,Leung Cheukying,령척잉,梁卓瀅,リョン·チェクイン,C,,,,,,,,,,,
C13,Li Yiman,리이만,李伊蔓,リー・イマン,C,,,,,,,,,,,
C14,Liang Jiao,량지아오,梁娇,リャン·ジャオ,C,,,,,,,,,,,
C15,Liang Qiao,량치아오,梁乔,リャン·チャオ,C,,,,,,,,,,,
C16,Lin Chenhan,린천한,林辰涵,リン·チェンハン,C,,,,,,,,,,,
C17,Lin Shuyun,린슈윈,林書蘊,リン·シューユィン,C,,,,,,,,,,,
C18,Liu Shiqi,리우쓰치,刘诗琦,リウ·シーチー,C,,,,,,,,,,,
C19,Liu Yuhan,리우위한,刘钰涵,リウ·ユーハン,C,,,,,,,,,,,
C20,Ma Yuling,마위링,马玉灵,マー·ユーリン,C,,,,,,,,,,,
J20,May,메이,梅一,メイ,J,,,,,,,,,,,
J21,Murakami Yume,무라카미 유메,村上 結愛,村上 結愛,J,,,,,,,,,,,
J22,Nagai Manami,나가이 마나미,永井 愛実,永井 愛実,J,,,,,,,,,,,
J23,Nakamura Kyara,나카무라 캬라,中村 伽羅,中村 伽羅,J,,,,,,,,,,,
J24,Nonaka Shana,노나카 샤나,野仲 紗奈,野仲 紗奈,J,,,,,,,,,,,
J25,Okazaki Momoko,오카자키 모모코,岡崎 百々子,岡崎 百々子,J,,,,,,,,,,,
J26,Oki Fuka,오키 후카,沖 楓花,沖 楓花,J,,,,,,,,,,,
J27,Okuma Sumomo,오쿠마 스모모,大熊 李,大熊 李,J,,,,,,,,,,,
C21,Poon Wingchi,풍윙치,潘穎芝,ポン·インチー,C,,,,,,,,,,,
K28,Ryu Sion,류시온,柳始溫,リュ・シオン,K,,,,,,,,,,,
J28,Sakamoto Mashiro,사카모토 마시로,坂本 舞白,坂本 舞白,J,,,,,,,,,,,
